date,regime,prior_position,previous_position,chosen_position,value_0,value_25,value_50,value_75,value_100,visits_0,visits_25,visits_50,visits_75,visits_100
2013-12-10,1,0.0,0.75,0.0,3.482831259520737e-05,-0.0068817373822359805,-0.002425343375422118,-0.0012675224097107615,-0.007426867538249576,20,20,20,20,20
2013-12-11,1,0.0,0.0,0.75,-0.003288451751597621,0.0037073242067944983,0.003757677641863827,0.0043219845103163994,0.002824599957587135,20,20,20,20,20
2013-12-12,1,0.0,0.75,1.0,-0.00198156181168711,-0.003564560536972497,-0.012993300532556769,0.006130839370465422,0.008308129623275526,20,20,19,20,21
2013-12-13,1,0.0,1.0,0.75,-0.001832663975831201,-0.0016273596435130047,-0.004092972442118418,0.00625278884927951,0.0006317254215303986,20,20,20,20,20
2013-12-16,1,0.0,0.75,1.0,-0.0008637977072268373,-0.00197012570905102,-0.0026030311062150745,0.0043249236950183845,0.005069963260710077,20,20,20,20,20
2013-12-17,1,0.0,1.0,0.75,0.0015182861693809615,-0.0011533991248469345,-0.012379544555279228,0.0051943239997493664,-0.00042636164789550487,20,20,20,20,20
2013-12-18,1,0.0,0.75,0.75,-0.0006224140178169061,2.622199179782651e-05,-0.002072998330966052,0.0001031589036847766,-0.012202086931916795,20,20,20,20,20
2013-12-19,1,0.0,0.75,0.75,0.0003129585629000472,0.004714053291980484,0.004167937751545855,0.004388210675857733,-0.003445134111329242,20,20,20,20,20
2013-12-20,1,0.0,0.75,0.75,-0.0017370565311662957,-0.0008798017892363384,-0.0022698273118922814,-0.0009315338653420223,-0.0010272687945100329,20,20,20,20,20
2013-12-23,1,0.0,0.75,1.0,-0.0025225049375310884,0.0017820260962016672,0.0013175110501835688,0.00020156441665010433,0.004262285027795647,20,20,20,20,20
2013-12-24,1,0.0,1.0,1.0,5.178145477586803e-05,-0.008739217804738417,0.0027885915990601452,-0.0009075917446665841,0.014548524621071,20,19,20,20,21
2013-12-26,1,0.0,1.0,0.75,-0.0002495251576596242,-0.001110424702321727,-0.0024159612630258744,0.004597910132164574,-0.006921603445358021,20,20,20,20,20
2013-12-27,1,0.0,0.75,0.5,-0.0014667623537170838,-0.0031835486964797315,0.0032820765892701545,0.00022203165389140356,-0.0047038062822019,20,20,20,20,20
2013-12-30,1,0.0,0.5,0.5,-0.00020857719831789628,0.003293673268599059,0.0029908402189829453,-0.0002299489056258104,-0.004865662385289367,20,20,20,20,20
2013-12-31,1,0.0,0.5,0.75,-0.007052247817541851,-0.003553043564618516,-0.0014719512724753526,0.002466189061118666,-0.008175486607252074,20,20,20,20,20
2014-01-02,1,0.0,0.75,1.0,0.0015693735703507703,-0.0006761125717292564,-0.00021119644517392328,-0.009929808668957768,0.0029462343497095797,20,20,20,20,20
2014-01-03,1,0.0,1.0,0.75,-0.003309558856323347,-0.0029979436110377697,-0.00020777681489142965,0.00470552436558725,-0.007774143387563695,20,20,20,20,20
2014-01-06,1,0.0,0.75,0.25,2.765852716334581e-06,0.0005473681795239084,-0.007810836191536294,-0.011652642646138847,-0.006972777588594349,20,20,20,20,20
2014-01-07,1,0.0,0.25,1.0,0.0017294232229573803,-0.0024859217140165693,-0.00011715267725662716,-0.002549448154357368,0.011043083082456174,20,20,20,20,20
2014-01-08,1,0.0,1.0,0.25,-0.003852295723946974,0.0002646630192578138,-1.543020522329075e-05,-0.0022918590441983995,-0.008820984711480895,20,20,20,20,20
2014-01-09,1,0.0,0.25,1.0,-0.00038497266947220746,-0.00017886979740324303,0.0009601521641455718,-0.00505736642872112,0.004162702004879611,20,20,20,20,20
2014-01-10,1,0.0,1.0,0.75,0.001837804562060126,-0.0016795104154440905,0.0006507976887395906,0.0072265738467288485,0.0018384624306800952,20,20,20,20,20
2014-01-13,1,0.0,0.75,1.0,-0.0054221173029188495,-0.0030829651413942245,-0.003030368335536722,-0.005935990904961955,-0.0006621380909264099,20,20,20,20,20
2014-01-14,1,0.0,1.0,0.0,0.002274614905647838,-0.0022956727984776433,-0.0032172772181355918,-0.010519939247670723,-0.0006739254367623936,20,20,20,20,20
2014-01-15,1,0.0,0.0,1.0,-0.003665822744356108,-0.009647938944710308,-0.0026452680437883684,-0.004132506555899674,-0.0016915836479885337,20,20,20,20,20
2014-01-16,1,0.0,1.0,1.0,-0.0023060053409269033,-0.000805521131242488,-0.0022482957523806014,-0.008010265226123876,-0.0007979819827790804,20,20,20,20,20
2014-01-17,1,0.0,1.0,0.25,-0.0014339829956035355,-0.0001085140417366389,-0.0021659663465963793,-0.0002091913783733833,-0.00286443561188673,20,20,20,20,20
2014-01-21,1,0.0,0.25,0.75,-0.0008491972980510711,0.0007103617886519609,-0.0006701766244009556,0.0030449690857320896,0.0015957956706302546,20,20,20,20,20
2014-01-22,1,0.0,0.75,0.75,-0.00414743935944351,-0.0015512201462932478,0.0010984222063971628,0.007116981184791142,-0.0035198787817099357,20,20,20,20,20
2014-01-23,1,0.0,0.75,0.75,0.004122043240810747,-0.0055279656494654356,9.461041636921388e-05,0.00865661947196856,-0.01004609870545516,20,20,20,21,19
2014-01-24,2,0.0,0.75,0.5,-0.005540934806781361,-0.002559336175093925,0.0019894369893531626,-0.007126912039959592,-0.03771487944340255,20,20,21,20,19
2014-01-27,2,0.0,0.5,0.0,0.0006055141616579364,-0.007977623495670912,-0.011462642155947384,-0.001996098422548048,-0.012552485838850736,20,20,20,20,20
2014-01-28,2,0.0,0.0,0.75,0.0002802657589692555,0.0008170895215341325,0.008078662591771892,0.009302085258394302,0.0068974374673751145,20,20,20,20,20
2014-01-29,2,0.0,0.75,1.0,-0.0030909035662609616,0.001090525902777753,0.005330345868377462,0.01146381402817033,0.012057342725836435,20,20,20,20,20
2014-01-30,2,0.0,1.0,0.75,0.0028061573211455265,-0.003376991189677413,0.001036823449997642,0.0102796385158154,-0.0016511094555766545,20,20,20,20,20
2014-01-31,2,0.0,0.75,0.0,0.0006019685901841065,-0.01365022321035953,-0.0020269398004862174,6.107605994869318e-05,-0.03569031011484302,20,20,20,21,19
2014-02-03,2,0.0,0.0,1.0,-0.0024277343941876252,-0.0027716016746225864,-0.0006918917040735928,-0.002513949404320155,0.007449264420075467,20,20,20,20,20
2014-02-04,2,0.0,1.0,1.0,0.005215459382831611,-0.005759386883462208,0.0017512899874564322,0.010694283244338076,0.015737591296841057,20,19,20,20,21
2014-02-05,2,0.0,1.0,1.0,0.0006368566279376104,0.004620482519103445,0.004682109424079015,0.007456108356610128,0.012770931748561417,20,20,20,20,20
2014-02-06,2,0.0,1.0,0.75,-0.000559031953102974,0.0024311253080258233,-0.0013414457820531181,0.006055119990593425,-0.011417946240907162,20,20,20,21,19
2014-02-07,2,0.0,0.75,0.5,-0.012655594580704066,-0.0019365161119264767,0.012342817994949375,-0.00011629795159610344,0.0110285286223492,19,20,21,20,20
2014-02-10,2,0.0,0.5,1.0,-0.004007701533608495,-0.0002291326178789672,-0.0005398376736285975,-0.0007556424301832041,0.012473959527063917,20,20,20,20,20
2014-02-11,2,0.0,1.0,0.0,-0.0027123158685222965,-0.0029383610482680176,-0.025255238861612943,-0.010606009006910664,-0.014194932687185885,21,20,19,20,20
2014-02-12,2,0.0,0.0,0.0,0.00373549531676728,-0.005421579295761697,-0.004206085875328678,0.00039682841144189553,0.0018630106517291294,20,20,20,20,20
2014-02-13,1,0.0,0.0,0.75,-0.002672717576796854,-0.0036059605938074924,-0.005752079240482568,0.005059916071327061,0.0023449899295605353,20,20,20,20,20
2014-02-14,1,0.0,0.75,0.0,0.0029994519154580546,-0.005055834902423699,-0.0028157143760736353,-0.002467516589444315,0.00035335827196529974,20,20,20,20,20
2014-02-18,1,0.0,0.0,0.5,-0.000669246088545616,-0.001530911618692698,0.0016514235270266443,-0.002178863570781866,-0.0019130626544310188,20,20,20,20,20
2014-02-19,1,0.0,0.5,0.5,-0.0003780486275088589,6.303067998844241e-05,0.009415886284959464,-0.009918033775446759,-0.009684465706902724,20,20,21,20,19
2014-02-20,1,0.0,0.5,0.0,-0.0001817734332183436,-0.004250827385126611,-0.013863023881986718,-0.0014625682083175113,-0.015081105134750172,20,20,20,20,20
2014-02-21,1,0.0,0.0,0.75,-0.005402921968281129,-0.005252120032616209,-0.0043844097867932336,0.004597617920056552,0.001126982055669455,20,20,20,20,20
2014-02-24,1,0.0,0.75,1.0,-0.0017992381791027683,-0.0034309052843776618,-0.00391614283345003,-0.008567445965308758,0.0043938165366280485,20,20,20,20,20
2014-02-25,1,0.0,1.0,1.0,-0.005191525983847545,-0.006937898803726113,0.0006991891883155776,0.00047280967298016333,0.0015129744899892712,20,20,20,20,20
2014-02-26,1,0.0,1.0,0.75,0.0017158315849698665,-0.004038948412938613,0.00014642910867044136,0.002564382034213793,-0.005812143624689801,20,20,20,20,20
2014-02-27,1,0.0,0.75,0.25,-0.0035239238248473337,-5.855610601791047e-05,-0.005585204411557042,-0.017822887414531852,-0.015198334811274658,20,21,20,19,20
2014-02-28,1,0.0,0.25,0.25,-0.0016520908399261318,0.002455896470370554,-0.015946389165648396,-0.0015501470389381138,-0.0019523360747551728,20,21,19,20,20
2014-03-03,1,0.0,0.25,0.5,0.003917591694909283,-0.0025773529075213035,0.004851104340594516,0.0006951188269890098,0.0015477895229841876,20,20,20,20,20
2014-03-04,1,0.0,0.5,1.0,-0.004594031790516502,-0.0008487567897453704,-0.004260018126194403,-0.003265425067439961,0.008732115614639008,20,20,20,20,20
2014-03-05,1,0.0,1.0,1.0,0.0012526965887529077,-0.004338425909806131,0.0037174747172113837,0.00013700314515936745,0.005680394456370295,20,20,20,20,20
2014-03-06,1,0.0,1.0,1.0,-0.0011564489453312122,-0.001602386696432446,-0.005002851310513698,-0.005672698469072578,0.006981260767686653,20,20,20,20,20
2014-03-07,1,0.0,1.0,0.5,-0.005891343473219408,-0.0032493192588757295,0.00384503928720381,0.000715384896838468,-0.0007997664307389091,20,20,20,20,20
2014-03-10,1,0.0,0.5,1.0,-0.0017435674158072084,0.003618976519062552,0.004760033014549087,0.006786399580544682,0.0071223913564676805,20,20,20,20,20
2014-03-11,1,0.0,1.0,0.5,-0.0016816094431081827,-0.0006223988352006246,0.0012723214827675788,-0.0011038701778566036,-0.004269736201101713,20,20,20,20,20
2014-03-12,1,0.0,0.5,0.75,-0.00037739817512726646,0.0003667811146218245,-0.0014238313432724807,0.002289435660532279,-0.0050917281164214335,20,20,20,20,20
2014-03-13,2,0.0,0.75,0.5,0.00455068475286877,-0.003956937159667891,0.004755246929816594,0.0005638370991768269,0.0016808287780194977,20,20,20,20,20
2014-03-14,2,0.0,0.5,0.0,0.0007393983208797628,-0.002176889968553741,-0.0025940301565014513,-0.025348176267973168,-0.009248343078244072,21,20,20,19,20
2014-03-17,1,0.0,0.0,0.5,0.00012950436886432609,0.001060575653618185,0.0020212394464496145,-0.008724234732463343,-0.020206241561364868,20,20,21,20,19
2014-03-18,1,0.0,0.5,0.5,0.0010677808927205149,-0.0007446803157394256,0.0008310026843797166,-0.003721521231324759,-0.0038404064197457774,20,20,20,20,20
2014-03-19,1,0.0,0.5,0.5,-0.0025910050378470722,0.0016488993649935127,0.006901252742501146,0.001929672090476567,-0.00866491342108146,20,20,20,20,20
2014-03-20,1,0.0,0.5,0.75,-0.003875646547287081,0.001566093307433919,-0.008334657766503205,0.0026841622768664026,-0.0018015463219045584,20,20,20,20,20
2014-03-21,1,0.0,0.75,1.0,-0.006699688956141645,0.00235199499136515,0.0024731715736922622,-0.001336128937339429,0.003098858720996462,20,20,20,20,20
2014-03-24,1,0.0,1.0,0.75,0.000423519411027145,-6.347641348950731e-05,5.932238633725587e-05,0.003679636896570087,-0.00712989627882345,20,20,20,20,20
2014-03-25,1,0.0,0.75,1.0,-0.0010277841877149093,-0.0002038032120276365,-0.0013815443477404785,-0.0014922629625514169,0.00036941131805243095,20,20,20,20,20
2014-03-26,2,0.0,1.0,1.0,-0.002436774360612064,-0.0016045117618596852,-0.007841626685798544,-0.00252677429331076,0.0071316293730135484,20,20,20,20,20
2014-03-27,2,0.0,1.0,0.75,-0.0002497678448092347,0.005166721512787627,0.007050998907361608,0.01078764896966764,0.0057120009719294155,20,20,20,20,20
2014-03-28,2,0.0,0.75,0.75,0.0008573921723788811,0.0013464130700151778,0.0006514196240121324,0.0009462509456203298,-0.00025868843769551083,20,20,20,20,20
2014-03-31,1,0.0,0.75,0.25,-0.007011305052313832,-0.0006479495142546192,-0.0066341268576691845,-0.003978951038645054,-0.011793905933351929,20,20,20,20,20
2014-04-01,1,0.0,0.25,1.0,-0.003740577142473859,-0.00014037811538489018,0.005889241625983306,-0.004174330174004574,0.006987114087009106,20,20,20,20,20
2014-04-02,1,0.0,1.0,0.5,-0.002495147908080258,-0.0040816536765145885,-0.0018356943200753192,-0.004236726239759033,-0.006075796064770181,20,20,20,20,20
2014-04-03,1,0.0,0.5,0.25,-0.0034780668320669866,-0.0013508380652732374,-0.017990488445033058,-0.017798672161574634,-0.0021225684754144296,20,20,20,20,20
2014-04-04,2,0.0,0.25,0.75,-0.0019287300476269152,0.0011208389837331402,-0.00878257559187238,0.0030341060782388104,-0.023420896097063694,20,20,20,21,19
2014-04-07,2,0.0,0.75,0.5,-0.0014248150022946598,-0.003262953530135836,0.008382054152117539,-0.0097696921824981,-0.028355729267797707,20,20,21,20,19
2014-04-08,2,0.0,0.5,1.0,-0.005335898202291517,-0.004841176627780095,0.002691856566136172,-0.0013181401708191687,0.006575160089772933,20,20,20,20,20
2014-04-09,2,0.0,1.0,0.75,-0.000911859507334941,0.0031775000333797826,-0.0013587579644766068,0.006670112402982442,-0.0034504480080375733,20,20,20,20,20
2014-04-10,2,0.0,0.75,0.25,-0.009589220634121267,0.004628701970529304,-0.0356443309712641,-0.011853733012114972,0.002255388153648122,20,21,18,20,21
2014-04-11,2,0.0,0.25,0.0,0.0034929838113055217,-0.0017876730095356414,0.0011012852510902363,-0.00021211353606115564,-0.019987972201131327,21,20,20,20,19
