date,regime,previous_template,chosen_template,value_template_0,value_template_1,value_template_2,value_template_3,value_template_4,visits_template_0,visits_template_1,visits_template_2,visits_template_3,visits_template_4
2011-02-24,2,2,3,-0.01237756759214646,0.009620879027785393,0.006199813990299003,0.010875357196412866,0.0001406641585945175,19,20,20,21,20
2011-02-25,2,3,1,-0.02594191728136055,0.01325371703137205,-0.00556162575555473,0.003552010235155935,-0.0038393307347218643,19,21,20,20,20
2011-02-28,1,1,3,0.00399450496078662,0.006606818000025529,-0.003516904975359299,0.00800182302738632,0.002904922661004527,20,20,20,20,20
2011-03-01,2,3,4,-0.0006293176249820136,0.000712933731163811,-0.008986928790822928,-0.015832797606594638,0.005336489674164214,20,20,20,19,21
2011-03-02,1,4,2,0.0037496448823155074,-0.004692902641932919,0.010391286142156883,0.005137493505514305,0.003918377822614294,20,20,20,20,20
2011-03-03,1,2,1,0.0023939818515007144,0.004368934865011735,-0.009870761342663773,-0.011023354587136484,0.0002751848181559395,20,20,20,20,20
2011-03-04,1,1,3,-0.004832498438818772,-0.00042314281178537237,0.002811587828907271,0.007080748533996356,0.0009497924893122081,20,20,20,20,20
2011-03-07,2,3,0,0.02364952509318131,0.000693719955460459,-0.011854026656866573,-0.025563026335408124,-0.00020417049060079086,22,20,19,19,20
2011-03-08,2,0,0,0.00384089935275155,-0.005336123798048377,-0.006252150572951143,-0.0028453590313494603,0.0016951580601898947,20,20,20,20,20
2011-03-09,2,0,0,0.007800808304115044,0.0014522915374673517,0.008193896771536114,-0.020453647664362556,0.0013166939512906132,21,20,20,19,20
2011-03-10,2,0,4,0.00042679492505313786,-0.005001663901990526,-0.013801838325410765,-0.00527489191642321,0.0017990830173175102,20,20,20,20,20
2011-03-11,2,4,0,0.007644592089837795,-0.027540704246614443,-0.010870942949661363,0.0005669323090465295,0.0007134701469802007,21,19,20,20,20
2011-03-14,2,0,3,-0.020819354956771605,-0.0009419563896758585,-0.0006677359811962161,0.014984696714723507,-0.004576499177628601,19,20,20,21,20
2011-03-15,2,3,1,-0.002920555112338282,0.007020597879337703,-0.011901126873531282,-0.004701263948499785,-0.0035477284928434475,20,21,19,20,20
2011-03-16,2,1,1,-0.003549764353690442,0.011757731825087218,0.0015358930889654277,0.010603188715066263,0.003082075448287628,20,20,20,20,20
2011-03-17,2,1,0,0.009190739225558502,-0.0076356054548463725,0.003151611094642458,-0.010799339047951053,0.004425105210699841,21,20,20,19,20
2011-03-18,2,0,4,0.005970325906370481,-0.019968046052338432,0.0043446059232541915,0.00520082162304425,0.011971244527303889,20,19,20,20,21
2011-03-21,2,4,1,-0.0005685448417213063,0.004729805359915886,-0.013795926614512706,-0.000694383007493843,-0.007018088890723524,20,21,19,20,20
2011-03-22,2,1,2,-0.004103445380960656,0.001348885531987515,0.006325494043996303,-0.005298203515199988,0.0011211799274008158,20,20,20,20,20
2011-03-23,2,2,2,0.0004413698015480672,0.004451988611630613,0.00735480824659205,-0.009034714864585448,-0.006674667294464909,20,20,20,20,20
2011-03-24,2,2,2,-0.00550102848640946,-0.013490692930298864,0.002862734621918647,0.0030036907937164292,0.001205626988994763,20,19,20,21,20
2011-03-25,2,2,2,0.004262677313190899,-0.011988718351361302,0.009505355875527468,-0.007615109625649749,-0.006690033312773502,20,19,21,20,20
2011-03-28,2,2,1,0.008961759394011778,0.009644700536330372,-0.0009616432609897838,-0.011372929036083551,0.008520407560579835,20,20,20,19,21
2011-03-29,0,1,0,0.010381389636993591,-0.0031057482338642866,-0.007068246894405052,0.004303066023788554,-0.0024775374991088638,20,20,20,20,20
2011-03-30,0,0,2,-0.0043892497565085386,0.002112611883895996,0.008616960878647353,-0.0022683190310450064,0.006432180440487355,20,20,20,20,20
2011-03-31,1,2,0,0.00557024611643609,-0.0015162168445375583,-0.011025700494520901,0.0005429068102905276,-0.002278968382085903,20,20,20,20,20
2011-04-01,1,0,0,0.013782484952826333,0.002081386921889944,-0.0025457891788044796,0.0031389110078704715,-0.0036175514528068407,21,20,20,20,19
2011-04-04,1,0,1,-0.008379689622012784,0.005145386385635447,0.000981819553829546,0.0014580628041235737,-0.00018462750287421168,20,20,20,20,20
2011-04-05,1,1,1,-0.0023140814565750316,0.00463362833260824,-0.006267823238162104,-0.003807214074328268,-0.0019083335118033693,20,20,20,20,20
2011-04-06,1,1,0,0.008885890454511724,-0.00017597514383926695,0.002368556936428544,0.000514182706973024,0.003612891090234014,20,20,20,20,20
2011-04-07,1,0,2,0.0011528315055207735,0.001952001271728694,0.0030039350487081106,0.002345717162636104,-0.0012454273371827016,20,20,20,20,20
2011-04-08,1,2,3,0.0029714647455329427,0.0001589099657252402,-0.004519659675131488,0.0032032782388731864,-0.0017719483841922117,20,20,20,20,20
2011-04-11,1,3,1,-0.005127353927758031,0.004681030228778287,-0.008640335733136285,-0.007458157986301556,-0.005996734971592133,20,20,20,20,20
2011-04-12,1,1,2,-0.005215440169371118,-0.0001565310175054068,0.0017268708472924735,-0.0015173968146764895,0.000972804714560736,20,20,20,20,20
2011-04-13,1,2,3,0.002128640903993656,-0.00016270550144608314,-0.0027251918209592945,0.004843465963134019,-0.0029058667515105448,20,20,20,20,20
2011-04-14,1,3,3,0.002217049586571664,-0.006041664919612266,-0.0039740242145143104,0.007351857516824387,-0.002909758769228736,20,20,20,20,20
2011-04-15,1,3,3,0.0052021170197981735,-0.0015386416899931057,-0.004657934608965278,0.004266544674984942,-0.007115773447964925,20,20,20,20,20
2011-04-18,1,3,2,0.0012604644467520368,-0.0002439593928985441,0.009929391394405945,-0.006166729352197864,-0.004102001255852632,20,20,20,20,20
2011-04-19,1,2,2,-0.011674925433885135,-0.0027913793058337534,0.0018501022143350375,0.001913113349227059,-0.0024178323650088187,20,20,20,20,20
2011-04-20,1,2,1,-0.0017514401570468425,0.006091115806418512,0.0017564804850533668,0.005826308943715656,0.0013142862949920766,20,20,20,20,20
2011-04-21,1,1,2,-0.016739346114906524,-0.001117509971568453,0.006188073054901385,0.004377430469961329,0.0020368473760344016,19,20,21,20,20
2011-04-25,1,2,0,0.0016372254922924587,-0.0010903651918202715,-0.0024945499377939002,-0.0017485835521318517,-0.0027799233120676505,20,20,20,20,20
2011-04-26,1,0,1,-0.0033123426491799674,0.0022957755637307603,0.0004148858337205078,-0.014215930896177773,-0.008364634809201866,20,20,20,20,20
2011-04-27,1,1,1,6.857546048441559e-05,0.0036768622613494602,0.003356567884130403,-0.011261642611178131,-0.0027340395468295137,20,20,20,20,20
2011-04-28,1,1,3,0.001982490717102048,-0.0018297024493958442,0.006608536710047056,0.007326178962982326,0.002891883962907417,20,20,20,20,20
2011-04-29,1,3,1,0.00019421923256239494,0.00492623838421478,-0.0007958180964971317,-0.018014574126164404,-0.0018324369046893868,20,21,20,19,20
2011-05-02,1,1,0,0.010122193576688008,-0.0019120673389284222,-0.004940062975428162,0.005614953873867555,1.4265831945914851e-05,20,20,20,20,20
2011-05-03,1,0,0,0.010588971619612534,0.008485728738490208,0.0013384512983348645,-0.0032838768446936937,-0.0027565006906834387,20,20,20,20,20
2011-05-04,1,0,1,-0.0026604593900646685,0.0074891381337251085,0.006577072846289239,0.0026135302873483953,-0.00015963328032040177,20,20,20,20,20
2011-05-05,2,1,0,0.012236696100592855,0.010842506135757352,-0.00594577622657795,0.0019174431331728202,0.0001797769774565066,21,20,19,20,20
2011-05-06,2,0,0,0.012685832993078416,0.0127222325287138,0.003431176880601239,0.010112551412807773,0.0021331546428569386,20,20,20,20,20
2011-05-09,1,0,3,-0.006557276117848609,-0.007774380696759407,-0.0005805503703681859,0.004762329975367395,-0.0023909576035425553,20,20,20,20,20
2011-05-10,1,3,2,0.0027948385980534696,0.0021215793431221004,0.003799753684285747,-0.011641980299757316,0.0021048408279689635,20,20,20,20,20
2011-05-11,1,2,1,0.00416083447296478,0.005244729761471537,0.001011939462007024,-0.0031798765468209977,0.0022393061432873685,20,20,20,20,20
2011-05-12,1,1,1,-0.010949228642368606,0.004029661534365192,-0.01303104585145326,0.004685363150868323,-0.0035611875371481874,20,20,19,21,20
2011-05-13,1,1,0,0.009608547340310978,0.0015475044235811457,-0.003316156434707112,-0.0004704068411911651,0.0016878360232607556,20,20,20,20,20
2011-05-16,2,0,0,0.019652291975838888,0.0077765734936913,0.0016883335720237567,-0.013020145303033505,-0.006033930316979607,21,20,20,19,20
2011-05-17,2,0,2,0.006013422374573604,0.003149280188447453,0.014526722742312601,-0.003526042245481406,0.005915201703429693,20,20,20,20,20
2011-05-18,1,2,0,0.005809550427818935,0.0013547886251368518,0.0010132127133844417,-0.0029777461505667976,0.002592696360024374,20,20,20,20,20
2011-05-19,1,0,0,0.009085894160217144,5.2494036262289025e-05,0.0016291387259764621,-0.008348075183439885,-0.003132949751024654,20,20,20,20,20
2011-05-20,2,0,3,-0.0013817201565965366,0.0061213873624147725,-0.01630172932384104,0.00853226828130971,0.001931413488922408,20,20,19,21,20
2011-05-23,2,3,0,0.011947295952348152,-0.004450672500279967,0.004016253414446257,0.010392228235611863,-0.0015643133908064886,20,20,20,20,20
2011-05-24,2,0,4,-0.003444723324481634,-0.02763354079987504,-0.013080831907412124,-0.0031033135648768787,-0.0013922107664977232,20,19,20,20,21
2011-05-25,2,4,2,-0.011878426131359282,0.010751563429889163,0.019390502521534743,0.00939101977806828,0.0005826072166172659,19,20,21,20,20
2011-05-26,2,2,0,0.016031894539450656,-0.010932957717314395,0.0062048661444768895,0.002155507547557601,-0.00047819350614863675,21,19,20,20,20
2011-05-27,2,0,1,-0.007256478143426837,0.006061384551455946,0.0010578679245088363,-0.004051653456570466,-0.007116527312836925,20,20,20,20,20
2011-05-31,2,1,3,-0.0003585235936348219,0.004725174312659866,0.0006788732348304585,0.012451571418921845,0.005780492669174771,20,20,20,20,20
2011-06-01,2,3,1,-0.0036479762058075913,0.0173507579851659,-0.0004619907759657154,-0.022518744684378783,0.000453392713891464,20,21,20,19,20
2011-06-02,2,1,0,0.013298105170086642,0.0021474972628377303,-0.0030226785076537996,-0.005868736559689526,-0.0038108180925356507,21,20,20,19,20
2011-06-03,2,0,4,0.0014808243667151786,-0.01664275374229498,-0.012607448207727459,-0.009742032343802472,0.004045283388586971,20,19,20,20,21
2011-06-06,2,4,3,0.007551517703148608,-0.01728892253214952,-0.007207752529675518,0.008686389500479626,0.0029605611530208647,20,19,20,21,20
2011-06-07,2,3,0,0.0026517452118576925,0.002077328271420401,-0.010138627013993916,0.0012430967785134945,-0.004321342692590757,20,20,20,20,20
