date,regime,previous_template,chosen_template,value_template_0,value_template_1,value_template_2,value_template_3,value_template_4,visits_template_0,visits_template_1,visits_template_2,visits_template_3,visits_template_4
2011-03-24,2,2,2,-0.0055006150475533575,-0.013490373878826699,0.002862828339739607,0.003003728358785192,0.001205607208880277,20,19,20,21,20
2011-03-25,2,2,2,0.004262079772706491,-0.01198901612613002,0.009505257956172372,-0.007614996784289234,-0.006690103023304329,20,19,21,20,20
2011-03-28,2,2,1,0.008961364919084589,0.009644906881207295,-0.0009615924851916015,-0.011372477334892757,0.008520472547352024,20,20,20,19,21
2011-03-29,0,1,0,0.010381136809452709,-0.003105877638839449,-0.007068504812799614,0.00430366232381163,-0.0024775121396279146,20,20,20,20,20
2011-03-30,0,0,2,-0.00438920564304622,0.0021127196035526956,0.008616920862143673,-0.0022679650065909177,0.006432214202824989,20,20,20,20,20
2011-03-31,1,2,0,0.00557010199584868,-0.0015163464936420357,-0.011025764730786763,0.0005429165450922955,-0.002279013800567696,20,20,20,20,20
2011-04-01,1,0,0,0.01378304486904456,0.002081015215207244,-0.002545726579383299,0.0031391659740147315,-0.003617672140794401,21,20,20,20,19
2011-04-04,1,0,1,-0.00837985332683298,0.005145078323722815,0.0009817097132434477,0.0014580878406988819,-0.00018471488269274056,20,20,20,20,20
2011-04-05,1,1,1,-0.002314727289881634,0.004633669086195061,-0.00626773143457057,-0.0038074166151171596,-0.0019082533215587527,20,20,20,20,20
2011-04-06,1,1,0,0.008885906525735465,-0.00017593307745132476,0.002368325195119783,0.0005143369983263296,0.00361282304634217,20,20,20,20,20
2011-04-07,1,0,2,0.0011522966777008183,0.0019522207047345333,0.0030039761558956725,0.002345847223258534,-0.001245456423531219,20,20,20,20,20
2011-04-08,1,2,3,0.002971247265375225,0.00015924112404680128,-0.004520012358108153,0.0032032495384510216,-0.0017721433066786568,20,20,20,20,20
2011-04-11,1,3,1,-0.005127918614846646,0.00468062122098914,-0.008639858677203755,-0.007458377868542382,-0.005996668008232217,20,20,20,20,20
2011-04-12,1,1,2,-0.0052154717473767076,-0.0001562020415081404,0.0017270185497135736,-0.001517572244414409,0.0009728823629535745,20,20,20,20,20
2011-04-13,1,2,3,0.002128854269119194,-0.0001627280502706799,-0.0027253086295356823,0.00484364119724494,-0.0029059839410599847,20,20,20,20,20
2011-04-14,1,3,3,0.0022168915276484487,-0.006040806482892072,-0.003973848489975499,0.007351716617210388,-0.0029097121380264506,20,20,20,20,20
